latitude,longitude,year,month,day,type,basisOfRecord,gbifID,occurrenceID,system:time_start,geometry
8.74807,-83.40155,2021.0,5.0,19.0,Fotograf{02200030.JPG,MACHINE_OBSERVATION,4875687891,02200030.JPG/DDC/fonafifo,2021-05-19T00:00:00,POINT (-83.40155 8.74807)
8.67738,-83.58411,2022.0,4.0,10.0,Video,MACHINE_OBSERVATION,4875687421,05070018.MP4/DDC/fonafifo,2022-04-10T00:00:00,POINT (-83.58411 8.67738)
8.74807,-83.40155,2019.0,4.0,26.0,Fotograf{02200028.JPG,MACHINE_OBSERVATION,4875686049,02200028.JPG/DDC/fonafifo,2019-04-26T00:00:00,POINT (-83.40155 8.74807)
10.72969,-85.58463,2021.0,9.0,22.0,Fotograf{04130210.JPG,MACHINE_OBSERVATION,4875683268,04130210.JPG/DDC/fonafifo,2021-09-22T00:00:00,POINT (-85.58463 10.72969)
10.738537,-85.572084,2021.0,3.0,16.0,Fotograf{05160554.JPG,MACHINE_OBSERVATION,4875682920,05160554.JPG/DDC/fonafifo,2021-03-16T00:00:00,POINT (-85.572084 10.738537)
10.738537,-85.572084,2019.0,4.0,17.0,Fotograf{04100128.JPG,MACHINE_OBSERVATION,4875682781,04100128.JPG/DDC/fonafifo,2019-04-17T00:00:00,POINT (-85.572084 10.738537)
8.68927,-83.5835,2022.0,5.0,16.0,Fotograf{EK000029.JPG,MACHINE_OBSERVATION,4875676134,EK000029.JPG/DDC/fonafifo_2313,2022-05-16T00:00:00,POINT (-83.5835 8.68927)
8.74807,-83.40155,2021.0,5.0,14.0,Fotograf{02200015.JPG,MACHINE_OBSERVATION,4875676081,02200015.JPG/DDC/fonafifo,2021-05-14T00:00:00,POINT (-83.40155 8.74807)
8.68927,-83.5835,2019.0,5.0,31.0,Fotograf{EK000016.JPG,MACHINE_OBSERVATION,4875675766,EK000016.JPG/DDC/fonafifo_2300,2019-05-31T00:00:00,POINT (-83.5835 8.68927)
10.763197,-85.560203,2019.0,7.0,6.0,Fotograf{04110094.JPG,MACHINE_OBSERVATION,4875675642,04110094.JPG/DDC/fonafifo,2019-07-06T00:00:00,POINT (-85.560203 10.763197)
